player,team,total_xt_added,positive_actions,avg_xt_per_action
Amanda Ilestedt,Sweden Women's,1.0818354394215575,142,0.007618559432546179
Jill Roord,Netherlands Women's,0.164707091383801,30,0.005490236379460033
Gun Nathalie Björn,Sweden Women's,1.2613337365119224,158,0.00798312491463242
Lynn Wilms,Netherlands Women's,0.8194268217421443,61,0.013433226585936792
Jonna Ann-Charlotte Andersson,Sweden Women's,1.0316845347565793,65,0.015872069765485834
Jackie Groenen,Netherlands Women's,0.27502117605112353,31,0.008871650840358824
Dominique Johanna Anna Petrone Janssen,Netherlands Women's,0.2743771117491963,64,0.0042871423710811925
Aniek Nouwen,Netherlands Women's,0.17597337939465918,19,0.00926175681024522
Lieke Martens,Netherlands Women's,0.18941233544984876,24,0.007892180643743698
Sherida Spitse,Netherlands Women's,0.4177176196237754,36,0.011603267211771538
Hanna Erica Maria Glas,Sweden Women's,1.4317591935161975,95,0.015071149405433658
Ingrid Filippa Angeldal,Sweden Women's,1.5758716316109818,117,0.013468988304367366
Magdalena Lilly Eriksson,Sweden Women's,1.2770775435813568,160,0.007981734647383481
Danielle van de Donk,Netherlands Women's,0.1756063382920429,20,0.008780316914602144
Kosovare Asllani,Sweden Women's,1.8554545911372273,86,0.0215750533853166
Vivianne Miedema,Netherlands Women's,0.41951312146678066,31,0.013532681337638085
Lina Mona Andréa Hurtig,Sweden Women's,0.2594871551482371,36,0.007207976531895475
Sari van Veenendaal,Netherlands Women's,0.013766874989514481,1,0.013766874989514481
Rut Hedvig Lindahl,Sweden Women's,0.16645924071033108,38,0.004380506334482397
Sara Caroline Seger,Sweden Women's,0.5277939844421672,84,0.006283261719549609
Stephanie van der Gragt,Netherlands Women's,0.16705051937859855,14,0.011932179955614183
Fridolina Rolfö,Sweden Women's,1.818805160344852,117,0.015545343250810702
Daphne van Domselaar,Netherlands Women's,0.058105658858822844,11,0.0052823326235293495
Marisa Christiane Wilhelmina Olislagers,Netherlands Women's,0.23837823145474446,33,0.0072235827713558924
Johanna Rytting-Kaneryd,Sweden Women's,0.8117797215978763,59,0.013758978332167394
Hanna Ulrika Bennison,Sweden Women's,0.4253534881884847,17,0.02502079342285204
Emma Stina Blackstenius,Sweden Women's,0.6311948922448779,31,0.020361125556286382
Victoria Pelova,Netherlands Women's,0.09067484477308296,4,0.02266871119327074
Lineth Beerensteyn,Netherlands Women's,0.0026010529703123257,2,0.0013005264851561628
María Pilar León Cebrián,Spain Women's,0.7548246908097844,94,0.008030049902231749
Ona Batlle Pascual,Spain Women's,1.323823238512052,112,0.011819850343857607
Leah Williamson,England Women's,0.5562214246619301,80,0.006952767808274127
Patricia Guijarro Gutiérrez,Spain Women's,0.7050970090862222,63,0.011192016017241622
Irene Paredes Hernandez,Spain Women's,0.7118487784427154,130,0.005475759834174734
Aitana Bonmati Conca,Spain Women's,1.033934141389367,101,0.010236971696924425
Lucy Bronze,England Women's,1.8018195978674383,141,0.012778862396222966
Marta Cardona De Miguel,Spain Women's,0.13708297940617964,5,0.027416595881235926
Olga  Carmona García,Spain Women's,1.079879906333964,100,0.010798799063339639
Georgia Stanway,England Women's,1.0131946421139357,78,0.012989674898896611
Rachel Daly,England Women's,1.1976272680952895,91,0.013160739209838346
Keira Walsh,England Women's,1.120876099347425,102,0.010988981366151224
Mary Alexandra Earps,England Women's,0.3942123029731159,70,0.00563160432818737
Millie Bright,England Women's,1.2017172672116883,151,0.00795839249809065
Sandra Paños García-Villamil,Spain Women's,0.08723199812209285,36,0.002423111058947024
Francesca Kirby,England Women's,0.04723862632346814,5,0.009447725264693629
Bethany Mead,England Women's,0.1779653285092318,14,0.012711809179230843
Ellen White,England Women's,0.1259303355479302,5,0.02518606710958604
Teresa Abelleira Dueñas,Spain Women's,0.6776767064167992,52,0.013032244354169217
Lauren Hemp,England Women's,1.1183455663089925,59,0.0189550095984575
María Francesca Caldentey Oliver,Spain Women's,0.7666038186106869,83,0.009236190585670927
Esther Gonzalez Rodríguez,Spain Women's,0.07366008926831434,7,0.010522869895473477
Athenea del Castillo Belvide,Spain Women's,0.5896073323257263,19,0.03103196485924875
Alessia Russo,England Women's,0.7197176327827226,38,0.01893993770480849
Chloe Kelly,England Women's,0.7137296604637717,30,0.023790988682125723
Ella Toone,England Women's,0.46013639048643024,29,0.015866772085738973
Sheila García Gómez,Spain Women's,0.3951973057837841,27,0.014636937251251262
Laia Aleixandri López,Spain Women's,0.039440989788510496,10,0.00394409897885105
Alex Greenwood,England Women's,1.252300364535652,167,0.0074988045780577965
Jill Scott,England Women's,0.09774811035092958,4,0.024437027587732394
Amaiur Sarriegi,Spain Women's,0.010206631427656702,1,0.010206631427656702
Nikita Parris,England Women's,0.02225508984269611,2,0.011127544921348055
Luana Bühler,Switzerland Women's,0.2296380883104466,60,0.003827301471840777
Eseosa Aigbogun,Switzerland Women's,0.1395226275156892,34,0.004103606691637917
Noelle Maritz,Switzerland Women's,0.3178002834288961,45,0.0070622285206421356
Viola Calligaris,Switzerland Women's,0.09008077869390135,24,0.0037533657789125562
Géraldine Reuteler,Switzerland Women's,0.0957499387629135,18,0.0053194410423840835
Sandy Mändly,Switzerland Women's,0.14950331647065018,17,0.008794312733567658
Lia Wälti,Switzerland Women's,0.13664435569111588,39,0.0035037014279773303
Coumba Sow,Switzerland Women's,0.09480552222819846,19,0.004989764327799919
Gaëlle Thalmann,Switzerland Women's,0.08532621648946127,14,0.006094729749247234
Ramona Bachmann,Switzerland Women's,0.30869772195745315,27,0.011433248961387154
Ana-Maria Crnogorčević,Switzerland Women's,0.3062721804043987,22,0.013921462745654485
Rachel Rinast,Switzerland Women's,0.13376944746012337,14,0.009554960532865956
Nadine Riesen,Switzerland Women's,0.006096576937996921,4,0.0015241442344992302
Fabienne Humm,Switzerland Women's,0.07307335487138475,3,0.02435778495712825
Sandrine Mauron,Switzerland Women's,0.02006150193000196,1,0.02006150193000196
Rebecka Blomqvist,Sweden Women's,0.18966294429380792,10,0.018966294429380793
Leonardo Bonucci,Italy,0.4227452794408799,70,0.006039218277726856
Gareth Frank Bale,Wales,0.1242449719725209,10,0.012424497197252091
Danny Ward,Wales,0.41429685102971464,35,0.011837052886563275
Alessandro Bastoni,Italy,0.6104630646093269,80,0.007630788307616586
Emerson Palmieri dos Santos,Italy,0.16671112247048372,20,0.008335556123524187
Andrea Belotti,Italy,0.0263095068218428,3,0.008769835607280932
Joseff Morrell,Wales,0.04537347466695121,13,0.0034902672820731704
Joe Rodon,Wales,0.13291080114854065,15,0.008860720076569377
Neco Williams,Wales,0.2400008380350646,19,0.012631623054477084
Rafael Tolói,Italy,0.4842859544750555,42,0.011530617963691798
Joe Allen,Wales,0.1122847948123572,12,0.0093570662343631
Marco Verratti,Paris Saint-Germain,2.554170015446233,324,0.007883240788414299
Chris Gunter,Wales,0.14307735651203218,28,0.005109905589715435
Connor Roberts,Wales,0.4254426090097837,20,0.021272130450489184
Jorge Luiz Frello Filho,Italy,0.33379699082163156,46,0.007256456322209381
Matteo Pessina,Italy,0.23664129277356927,16,0.01479008079834808
Federico Bernardeschi,Italy,0.6312849883867155,26,0.02428019186102752
Federico Chiesa,Italy,0.7173956365067774,33,0.02173926171232659
Ethan Ampadu,Wales,0.1003138417049537,23,0.004361471378476247
Aaron Ramsey,Wales,0.30428657621674093,22,0.01383120800985186
Daniel James,Wales,0.16736483212122852,7,0.023909261731604074
Gianluigi Donnarumma,Paris Saint-Germain,0.08547901704489846,44,0.0019427049328386015
Francesco Acerbi,Italy,0.33405829646508484,54,0.0061862647493534225
Bryan Cristante,Italy,0.10698026587830814,20,0.005349013293915407
Kieffer Roberto Francisco Moore,Wales,0.0011296016630673207,1,0.0011296016630673207
Giacomo Raspadori,Italy,0.06808806878784851,2,0.034044034393924255
Salvatore Sirigu,Italy,0.0009398592895784852,1,0.0009398592895784852
Harry Wilson,Wales,0.004581117398688132,1,0.004581117398688132
Pau Francisco Torres,Spain,0.7197529521755939,177,0.004066400859749118
Aymeric Laporte,Spain,0.7696377954372569,143,0.005382082485575223
Jordi Alba Ramos,Inter Miami,2.80720512190137,315,0.008911762291750381
Pablo Sarabia García,Spain,0.32776545316855654,14,0.023411818083468323
Jorge Resurrección Merodio,Spain,0.7070467003494407,35,0.020201334295698307
Silvan Widmer,Switzerland,0.9095671598243644,88,0.010335990452549597
Nico Elvedi,Switzerland,0.10892125184797127,26,0.004189278917229664
Sergio Busquets i Burgos,Inter Miami,3.0847839432717334,409,0.007542259030004239
César Azpilicueta Tanco,Spain,0.43984150471018324,62,0.007094217817906181
Unai Simón Mendibil,Spain,0.03983071587546978,23,0.0017317702554552079
Ferrán Torres García,Spain,0.6938794898757348,30,0.02312931632919116
Pedro González López,Barcelona,1.9613969274086567,161,0.012182589611233892
Manuel Obafemi Akanji,Switzerland,0.3945030473170167,85,0.004641212321376667
Yann Sommer,Switzerland,0.49398740864094515,56,0.008821203725731164
Ricardo Iván Rodríguez Araya,Switzerland,1.1506880664509114,75,0.015342507552678818
Remo Freuler,Switzerland,0.4077464780225388,41,0.009945036049330216
Denis Lemi Zakaria Lako Lado,Switzerland,0.1623728125100583,27,0.0060138078707429
Xherdan Shaqiri,Switzerland,0.9234414280020606,45,0.020520920622268013
Álvaro Borja Morata Martín,Spain,0.17463830741441783,7,0.02494832963063112
Steven Zuber,Switzerland,0.1289555606063846,12,0.010746296717198718
Ruben Vargas,Switzerland,0.6956656171893372,49,0.014197257493659942
Haris Seferović,Switzerland,0.10041012691804554,4,0.025102531729511386
Daniel Olmo Carvajal,Spain,0.643836542374352,38,0.01694306690458821
Gerard Moreno Balaguero,Spain,0.34954021597802565,17,0.02056118917517798
Mario Gavranović,Switzerland,0.02076002198945278,7,0.0029657174270646828
Djibril Sow,Switzerland,0.4560729245512368,33,0.013820391653067782
Christian Fassnacht,Switzerland,0.2670223262484852,20,0.01335111631242426
Marcos Llorente Moreno,Spain,0.24145716496508446,12,0.020121430413757038
Mikel Oyarzabal Ugarte,Spain,0.3030598089100506,11,0.027550891719095506
Fabian Lukas Schär,Switzerland,0.3870111839682395,42,0.009214551999243798
Kevin Mbabu,Switzerland,0.13149172809727042,5,0.026298345619454083
Thiago Alcântara do Nascimento,Spain,0.16990635507172414,11,0.01544603227924765
Rodrigo Hernández Cascante,Spain,0.009832594841705539,1,0.009832594841705539
Breel-Donald Embolo,Switzerland,0.11511357981606268,10,0.011511357981606268
Igor Diveev,Russia,0.20655299618633502,18,0.01147516645479639
Daler Kuzyaev,Russia,0.1920241990310706,30,0.00640080663436902
Jannik Vestergaard,Denmark,0.3007593901930639,58,0.005185506727466619
Simon Thorup Kjær,Denmark,0.33107320439507093,45,0.007357182319890465
Fedor Kudryashov,Russia,0.18656031338076806,23,0.008111317973076872
Pierre-Emile Højbjerg,Denmark,1.0036743879190595,121,0.008294829652223633
Joakim Mæhle,Denmark,0.8833132709539901,87,0.010153026102919427
Georgiy Dzhikiya,Russia,0.4166715472176453,18,0.023148419289869184
Aleksandr Golovin,Russia,0.44528501806793586,23,0.019360218176866777
Thomas Delaney,Denmark,0.35633116294960887,32,0.011135348842175277
Kasper Schmeichel,Denmark,0.46773368514493663,55,0.00850424882081703
Martin Braithwaite Christensen,Denmark,0.5749251733358307,31,0.018545973333413894
Andreas Christensen,Denmark,0.6028522190708642,122,0.004941411631728395
Matvey Safonov,Russia,0.22421010878334904,27,0.008304078103087002
Daniel Wass,Denmark,0.3373738443481529,29,0.011633580839591479
Magomed Ozdoev,Russia,0.15171656900280459,17,0.008924504058988505
Artem Dzyuba,Russia,0.21026368012344387,16,0.013141480007715242
Aleksey Miranchuk,Russia,0.17037616034874323,10,0.017037616034874324
Mário Figueira Fernandes,Russia,0.16104852181092086,19,0.008476237990048466
Roman Zobnin,Russia,0.15932180528869516,23,0.006927035012551964
Yussuf Yurary Poulsen,Denmark,0.16069529034823343,9,0.017855032260914824
Mikkel Damsgaard,Denmark,0.6955199278134588,39,0.017833844302909203
Jens Stryger Larsen,Denmark,0.34036602404039384,16,0.021272876502524615
Rifat Zhemaletdinov,Russia,0.03702146023934761,7,0.005288780034192516
Aleksandr Sobolev,Russia,0.019185407271059628,4,0.004796351817764907
Kasper Dolberg,Denmark,0.10548678007371792,9,0.011720753341524214
Maksim Mukhin,Russia,0.08234297086672153,5,0.016468594173344307
Vyacheslav Karavaev,Russia,0.18591771352939995,10,0.018591771352939997
Mathias Jensen,Denmark,0.4179864704231418,36,0.011610735289531717
Andreas Evald Cornelius,Denmark,0.1798044708522475,8,0.022475558856530936
Christian Nørgaard,Denmark,0.059704079733100046,6,0.009950679955516675
Julián Malatini,Werder Bremen,0.3389425855230333,39,0.008690835526231623
Mitchell Weiser,Werder Bremen,0.2668988105146972,25,0.010675952420587888
Nick Woltemade,Werder Bremen,0.09917650655543918,12,0.008264708879619932
Edmond Fayçal Tapsoba,Bayer Leverkusen,0.7293316850683558,160,0.004558323031677224
Jonathan Tah,Bayer Leverkusen,0.7919508394920475,167,0.004742220595760764
Granit Xhaka,Switzerland,2.0286273245415005,207,0.009800132002615945
Nathan Tella,Bayer Leverkusen,1.2924407189816982,67,0.019290159984801467
Victor Okoh Boniface,Bayer Leverkusen,0.3403135224764447,24,0.014179730103185196
Felix Agu,Werder Bremen,0.20657508665068494,19,0.010872372981614998
Marvin Ducksch,Werder Bremen,0.3468145866736361,13,0.02667804512874124
Odilon Kossonou,Bayer Leverkusen,1.2037993083344622,145,0.008302064195410085
Michael Zetterer,Werder Bremen,0.11280187081405084,36,0.003133385300390301
Christian Groß,Werder Bremen,0.22143579305214428,58,0.003817858500899039
Milos Veljkovic,Serbia,0.2464544719955195,81,0.003042647802413821
Romano Schmid,Werder Bremen,0.6022507133196424,52,0.0115817444869162
Amine Adli,Bayer Leverkusen,0.4034049871568964,39,0.010343717619407599
Robert Andrich,Bayer Leverkusen,1.0457308804703374,169,0.006187756689173594
Piero Martín Hincapié Reyna,Bayer Leverkusen,0.7367062180065854,133,0.005539144496290116
Senne Lynen,Werder Bremen,0.13866887581712595,41,0.0033821677028567304
Leonardo Bittencourt,Werder Bremen,0.28281141086265277,36,0.007855872523962576
Jonas Hofmann,Bayer Leverkusen,0.7886431151332665,51,0.015463590492809147
Lukáš Hrádecký,Bayer Leverkusen,0.25585640441498153,66,0.0038766121881057807
Florian Wirtz,Bayer Leverkusen,1.1029198144378551,85,0.012975527228680648
Patrik Schick,Bayer Leverkusen,0.1336570866460771,11,0.012150644240552462
Olivier Deman,Werder Bremen,0.01728059354495226,7,0.002468656220707466
Jeremie Frimpong,Bayer Leverkusen,0.4110851330161555,20,0.020554256650807776
Dawid Kownacki,Werder Bremen,0.030837785244898157,2,0.015418892622449078
Exequiel Alejandro Palacios,Argentina,0.33220399439641585,60,0.005536733239940264
Isak Hansen-Aarøen,Werder Bremen,0.047914984069094745,4,0.011978746017273686
Alejandro Grimaldo García,Bayer Leverkusen,1.2024608290700056,61,0.01971247260770501
Lucas Silva Melo,Eintracht Frankfurt,0.31494054876766714,44,0.0071577397447197075
Robin Koch,Eintracht Frankfurt,0.3882960686469331,74,0.005247244170904501
Hugo Ekitike,Stade de Reims,0.7295097609347679,38,0.01919762528775705
Kevin Trapp,Eintracht Frankfurt,0.18833833388200266,29,0.006494425306275954
Eric Junior Dina Ebimbe,Paris Saint-Germain,0.215201849093761,21,0.010247707099702904
Ellyes Joris Skhiri,Eintracht Frankfurt,0.14913149755513372,28,0.005326124912683347
Fares Chaïbi,Eintracht Frankfurt,0.8756459655293016,29,0.030194688466527644
Niels Nkounkou,Eintracht Frankfurt,0.4736050155678604,31,0.015277581147350335
Willian Joel Pacho Tenorio,Eintracht Frankfurt,0.4223245749078234,66,0.006398857195573081
Mario Götze,Eintracht Frankfurt,0.39251131518919974,45,0.008722473670871105
Arthur Augusto de Matos Soares,Bayer Leverkusen,0.42761941015851423,36,0.011878316948847618
Omar Marmoush,Eintracht Frankfurt,0.40527174550692846,17,0.023839514441584025
Adam Hložek,Bayer Leverkusen,0.29960145317250136,18,0.016644525176250077
Hugo Larsson,Eintracht Frankfurt,0.07200880552625512,14,0.0051434861090182225
Ansgar Knauff,Eintracht Frankfurt,0.18754350787997606,11,0.01704940980727055
Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,0.14002934885233453,11,0.012729940804757684
Gustavo Adolfo Puerta Molano,Bayer Leverkusen,0.008968560749235084,4,0.002242140187308771
Jean-Mattéo Bahoya Négoce,Eintracht Frankfurt,0.09890177359173583,5,0.019780354718347166
Ignacio Ferri Julià,Eintracht Frankfurt,0.06441723061717551,2,0.032208615308587756
Danilho Doekhi,Union Berlin,0.07447312632615209,18,0.0041373959070084496
Robin Gosens,Union Berlin,0.24352793542955767,18,0.013529329746086538
Diogo Filipe Monteiro Pinto Leite,Union Berlin,0.17448097389993084,37,0.004715701997295428
Kevin Vogt,Union Berlin,0.140391105114643,41,0.0034241732954790978
Frederik Rønnow,Union Berlin,0.3487727276336843,33,0.010568870534354069
Christopher Trimmel,Union Berlin,0.3414555533173294,16,0.021340972082333088
András Schäfer,Union Berlin,0.11371866992747903,13,0.008747589994421464
Borja Iglesias Quintas,Bayer Leverkusen,0.07463703908645664,6,0.01243950651440944
Rani Khedira,Union Berlin,0.17632468051190503,11,0.016029516410173184
Lucas Tousart,Union Berlin,0.1293854612836899,15,0.008625697418912661
Brenden Aaronson,Union Berlin,0.22597815823950734,22,0.010271734465432152
Mikkel Kaufmann,Union Berlin,0.11049778335587493,4,0.027624445838968732
Alex Král,Union Berlin,0.10452572085129562,14,0.007466122917949687
Josip Juranović,Union Berlin,0.5199841970812391,28,0.018570864181472826
Aïssa Bilal Laïdouni,Union Berlin,0.0764870434693517,15,0.005099136231290114
Benedict Hollerbach,Union Berlin,0.2542034023857169,9,0.028244822487301882
Yorbe Vertessen,Union Berlin,0.045825409700110904,2,0.022912704850055452
Clément Lenglet,Barcelona,0.8060219828041675,151,0.005337893925855414
Ronald Federico Araújo da Silva,Barcelona,0.41525273777897587,69,0.006018155619985158
Ousmane Dembélé,Barcelona,1.575839696127598,105,0.015007997105977123
Aarón Martín Caricol,Celta Vigo,0.08161310785868976,17,0.004800771050511163
Manuel Agudo Durán,Celta Vigo,0.1817177865139743,19,0.009564094027051278
Denis Suárez Fernández,Celta Vigo,0.4697426185059658,33,0.014234624803211086
Santiago Mina Lorenzo,Celta Vigo,0.062234858590240194,15,0.00414899057268268
Gerard Piqué Bernabéu,Barcelona,0.6607271925213632,161,0.004103895605722753
Marc-André ter Stegen,Barcelona,0.20469222896070566,55,0.003721676890194648
Iván Villar Martínez,Celta Vigo,0.15418489463385326,26,0.005930188255148202
Antoine Griezmann,Barcelona,0.752383057313587,67,0.011229597870352045
Lionel Andrés Messi Cuccittini,Paris Saint-Germain,6.71593522380102,481,0.013962443292725614
Francisco José Beltrán Peinado,Celta Vigo,0.13236660116720986,32,0.004136456286475308
Carlos Domínguez Cáceres,Celta Vigo,0.08820458172128597,33,0.0026728661127662415
Néstor Alejandro Araújo Razo,Celta Vigo,0.10544815949592333,33,0.0031953987726037374
Moriba Kourouma Kourouma,Barcelona,0.5208637886243616,45,0.011574750858319145
Kevin Vázquez Comesaña,Celta Vigo,0.2945744094484297,39,0.007553189985857172
Iago Aspas Juncal,Celta Vigo,0.07885184147002491,15,0.005256789431334994
